domain,equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,n,higher_is_better
physics,coulomb_force,rmse,NULL,0.0,-0.0,-0.0,0.005658116703171748,1.0,20,False
physics,coulomb_force,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,newton_gravitation,rmse,NULL,0.0,-0.0,-0.0,1.5738506276986879,1.0,20,False
physics,newton_gravitation,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,newton_gravitation,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,ideal_gas_law,rmse,NULL,0.0,-0.0,-0.0,105.02996188888399,1.0,20,False
physics,ideal_gas_law,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,ideal_gas_law,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,kinetic_energy,rmse,NULL,0.0,-0.0,-0.0,81.50033891580105,1.0,20,False
physics,kinetic_energy,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,kinetic_energy,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,relativistic_energy_momentum,rmse,NULL,0.0,-0.0,-0.0,2.271882186393613,1.0,20,False
physics,relativistic_energy_momentum,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,relativistic_energy_momentum,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,snells_law,rmse,NULL,0.0,-0.0,-0.0,0.02004924176364653,1.0,20,False
physics,snells_law,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,snells_law,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,shm_period,rmse,NULL,0.0,-0.0,-0.0,0.10018809255132657,1.0,20,False
physics,shm_period,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,shm_period,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,ohms_law,rmse,NULL,0.0,-0.0,-0.0,10.356023288725595,1.0,20,False
physics,ohms_law,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,ohms_law,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
