Complexity,Loss,Equation
1,3576.7563,"364.3158"
3,3391.7217,"SST + 346.96588"
5,3371.1853,"(SST * 1.4623202) + 338.943"
7,3340.932,"exp(SST * 0.12862597) + 347.24902"
8,2843.6973,"(236.59714 / (-12.368306 + Salinity)) + 351.4113"
10,2392.0715,"((SST * SST) / (Salinity + -12.319569)) + 347.50238"
12,2344.2637,"(((SST * SST) + -69.403496) / (Salinity + -12.323537)) + 349.92862"
14,2311.6128,"((SST + 14.998323) * ((SST + -12.040335) / (Salinity + -12.3455715))) + 352.39365"
16,2311.6057,"352.4617 + ((-1.312957 + ((14.998295 + SST) * (-12.040422 + SST))) / (Salinity + -12.34572))"
17,2307.3062,"((SST + -12.402118) * (((SST / 0.7256792) + 9.996057) / (Salinity + -12.339041))) + 350.64487"
18,2302.942,"(((SST + 15.76833) * (SST + (sin(Salinity) + -11.990535))) / (Salinity + -12.3439865)) + 352.4433"
20,2279.983,"((SST + -13.169491) * ((SST + (SST + (cos(Salinity) * SST))) / (Salinity + -12.268893))) + 352.93256"
21,2274.6643,"(((SST + ((cos(Salinity) / 0.06562948) + SST)) * (SST + -12.725938)) / (Salinity + -12.290984)) + 350.38513"
22,2274.2944,"(((SST + -13.169491) * (((SST + 2.141034) + SST) + (cos(Salinity) * SST))) / (Salinity + -12.268893)) + 352.93256"
23,2266.2988,"(((((SST + SST) + (cos(Salinity) / 0.04738181)) / (Salinity + -12.283917)) + 0.40855342) * (SST + -13.406554)) + 350.18222"
25,2265.0972,"((SST + -13.406542) * (((SST + ((cos(Salinity - 0.17924394) / 0.046282567) + SST)) / (Salinity + -12.286552)) + 0.44704196)) + 349.3863"
