Complexity,Loss,Equation
1,3576.7563,"364.31876"
3,3391.7217,"SST + 346.96555"
5,3270.9785,"Year + (SST - 1664.4794)"
7,3242.0688,"((SST + Year) * 1.4162672) + -2508.996"
8,2878.9878,"(SST / (Salinity + -12.443628)) + 368.2144"
10,2496.537,"((SST / (Salinity + -12.353511)) - -22.401545) * 15.787248"
12,2265.8445,"(((SST / (-12.320648 + Salinity)) * SST) + Year) - 1664.4456"
14,2240.1367,"Year + (-1663.3722 - ((26.187645 - (SST * SST)) / (Salinity + -12.325372)))"
16,2186.97,"(Year + -1661.4893) - ((SST * (SST + -12.870836)) / ((Salinity + -12.339128) * -0.53170884))"
18,2184.9397,"(-1661.4893 + Year) - ((((-12.339128 + SST) * SST) - 13.335921) / (-0.53170884 * (-12.339128 + Salinity)))"
20,2170.1345,"Year + (-1661.0486 - ((SST / (Salinity + -12.32478)) * ((cos(Salinity) + (SST + -13.850111)) * -2.0965583)))"
22,2169.3225,"(Year + -1661.4893) - (((SST + 0.86925125) * (((cos(Salinity) + SST) + -13.846889) * -2.1054146)) / (Salinity + -12.320364))"
23,2168.0396,"(Year + -1661.4893) - ((SST * ((SST + -13.690789) + cos(Salinity + -0.45658368))) / ((Salinity + -12.32478) / -2.094882))"
24,2159.5059,"(Year - (((cos(Salinity) + ((cos(Salinity) + SST) + -14.834712)) / (Salinity + -12.307295)) * (SST * -2.3987563))) + -1661.5165"
