Complexity,Loss,Equation
1,944.4978,"373.49915"
3,784.03,"SST * 14.710424"
5,437.08163,"(SST * 8.0744) - -169.61545"
7,308.67685,"(Year + (SST * 8.190736)) - 1845.4475"
9,249.85225,"(Year + ((Season_Cos - SST) * -7.7141795)) - 1834.4236"
11,194.47887,"-3435.741 - (((Season_Sin + Season_Cos) * SST) + (Year * -1.8897157))"
13,178.52202,"((((3.2349114 - Season_Cos) * (SST + -17.562187)) + Year) * 2.006476) + -3717.2175"
15,157.75089,"((Year * 1.9908574) + ((2.4065993 - Season_Cos) * (SST + (Season_Sin * -6.750364)))) + -3697.8232"
17,154.65807,"(Year * 1.9760145) + ((((Season_Sin * -4.2712674) + (SST - 3.4755943)) * (3.2404284 - Season_Cos)) + -3677.2534)"
19,153.21402,"((((Season_Sin * -5.4557347) + ((SST + -10.756553) * 1.470117)) * (2.3406832 - Season_Cos)) + (Year * 1.9899802)) + -3684.8596"
21,150.62881,"((Year * 1.932781) + -3578.8918) - ((((((Season_Sin * -0.17284971) + 3.2262962) * Salinity) + SST) + -120.5812) * (Season_Cos + -2.599028))"
23,149.63292,"(((Year * 1.9278882) - ((Season_Cos + -2.0296216) * ((SST + -124.55915) + (((Season_Sin * -0.19991697) + 3.3118873) * Salinity)))) + -3579.4214) + SST"
25,149.0771,"((SST + -3578.8809) - ((Season_Cos + -2.0744452) * (((Salinity * ((sin(Season_Sin) * -0.2200493) + 3.2603896)) + -122.74369) + SST))) + (Year * 1.9272149)"
