Complexity,Loss,Equation
1,2136.2507,"355.26413"
3,1894.2427,"SST + 343.30344"
5,1705.7104,"(SST * 2.9563408) - -319.9137"
7,1609.7953,"((SST * 3.08618) + Year) + -1695.1892"
9,1552.5575,"((SST + Season_Cos) * 3.0862854) + (-1695.1904 + Year)"
11,1470.515,"((Season_Cos * 20.231255) + -1680.2734) + (Year + (SST + SST))"
12,1470.4037,"(((SST + SST) + Year) + -1680.2777) + (sin(Season_Cos) * 22.892773)"
13,1357.254,"(((31.878408 - SST) * Season_Cos) + -1680.5558) + (Year + (SST + SST))"
16,1356.1501,"(((((31.878408 - SST) * Season_Cos) + SST) + SST) + (Year + -1680.7871)) + cos(Season_Cos)"
17,1354.6875,"(((Season_Cos * 12.759989) + ((Season_Sin * 4.7019124) + -1825.6377)) + (Year + (SST + SST))) * 1.6865535"
19,1352.6755,"(((((31.878408 - SST) * Season_Cos) + SST) + SST) + ((-1680.5558 + (Year + -0.2313105)) + 0.22877494)) + Season_Sin"
