margin,verdict
0.001,HARMFUL
0.002,HARMFUL
0.003,HARMFUL
0.004,HARMFUL
0.005,HARMFUL
0.006,HARMFUL
0.007,HARMFUL
0.008,HARMFUL
0.009,INCONCLUSIVE
0.01,INCONCLUSIVE
0.011,INCONCLUSIVE
0.012,INCONCLUSIVE
0.013,INCONCLUSIVE
0.014,INCONCLUSIVE
0.015,INCONCLUSIVE
0.016,INCONCLUSIVE
0.017,INCONCLUSIVE
0.018,INCONCLUSIVE
0.019,INCONCLUSIVE
0.02,INCONCLUSIVE
0.021,INCONCLUSIVE
0.022,INCONCLUSIVE
0.023,INCONCLUSIVE
0.024,INCONCLUSIVE
0.025,INCONCLUSIVE
0.026,INCONCLUSIVE
0.027,INCONCLUSIVE
0.028,INCONCLUSIVE
0.029,INCONCLUSIVE
0.03,INCONCLUSIVE
0.031,INCONCLUSIVE
0.032,INCONCLUSIVE
0.033,INCONCLUSIVE
0.034,INCONCLUSIVE
0.035,INCONCLUSIVE
0.036,INCONCLUSIVE
0.037,INCONCLUSIVE
0.038,INCONCLUSIVE
0.039,INCONCLUSIVE
0.04,INCONCLUSIVE
0.041,INCONCLUSIVE
0.042,INCONCLUSIVE
0.043,INCONCLUSIVE
0.044,INCONCLUSIVE
0.045,INCONCLUSIVE
0.046,INCONCLUSIVE
0.047,INCONCLUSIVE
0.048,INCONCLUSIVE
0.049,INCONCLUSIVE
0.05,INCONCLUSIVE
0.051,INCONCLUSIVE
0.052,INCONCLUSIVE
0.053,INCONCLUSIVE
0.054,INCONCLUSIVE
0.055,INCONCLUSIVE
0.056,INCONCLUSIVE
0.057,INCONCLUSIVE
0.058,INCONCLUSIVE
0.059,INCONCLUSIVE
0.06,INCONCLUSIVE
0.061,INCONCLUSIVE
0.062,INCONCLUSIVE
0.063,INCONCLUSIVE
0.064,INCONCLUSIVE
0.065,INCONCLUSIVE
0.066,INCONCLUSIVE
0.067,INCONCLUSIVE
0.068,INCONCLUSIVE
0.069,INCONCLUSIVE
0.07,INCONCLUSIVE
0.071,INCONCLUSIVE
0.072,INCONCLUSIVE
0.073,INCONCLUSIVE
0.074,INCONCLUSIVE
0.075,INCONCLUSIVE
0.076,INCONCLUSIVE
0.077,INCONCLUSIVE
0.078,INCONCLUSIVE
0.079,INCONCLUSIVE
0.08,INCONCLUSIVE
0.081,INCONCLUSIVE
0.082,INCONCLUSIVE
0.083,INCONCLUSIVE
0.084,INCONCLUSIVE
0.085,INCONCLUSIVE
0.086,INCONCLUSIVE
0.087,INCONCLUSIVE
0.088,INCONCLUSIVE
0.089,INCONCLUSIVE
0.09,INCONCLUSIVE
0.091,INCONCLUSIVE
0.092,INCONCLUSIVE
0.093,INCONCLUSIVE
0.094,INCONCLUSIVE
0.095,INCONCLUSIVE
0.096,INCONCLUSIVE
0.097,INCONCLUSIVE
0.098,INCONCLUSIVE
0.099,INCONCLUSIVE
0.1,INCONCLUSIVE
0.101,INCONCLUSIVE
0.102,INCONCLUSIVE
0.103,INCONCLUSIVE
0.104,INCONCLUSIVE
0.105,INCONCLUSIVE
0.106,INCONCLUSIVE
0.107,INCONCLUSIVE
0.108,INCONCLUSIVE
0.109,INCONCLUSIVE
0.11,INCONCLUSIVE
0.111,INCONCLUSIVE
0.112,INCONCLUSIVE
0.113,INCONCLUSIVE
0.114,INCONCLUSIVE
0.115,INCONCLUSIVE
0.116,INCONCLUSIVE
0.117,INCONCLUSIVE
0.118,INCONCLUSIVE
0.119,INCONCLUSIVE
0.12,INCONCLUSIVE
0.121,INCONCLUSIVE
0.122,INCONCLUSIVE
0.123,INCONCLUSIVE
0.124,INCONCLUSIVE
0.125,INCONCLUSIVE
0.126,INCONCLUSIVE
0.127,INCONCLUSIVE
0.128,INCONCLUSIVE
0.129,INCONCLUSIVE
0.13,INCONCLUSIVE
0.131,INCONCLUSIVE
0.132,INCONCLUSIVE
0.133,INCONCLUSIVE
0.134,INCONCLUSIVE
0.135,INCONCLUSIVE
0.136,INCONCLUSIVE
0.137,INCONCLUSIVE
0.138,INCONCLUSIVE
0.139,INCONCLUSIVE
0.14,INCONCLUSIVE
0.141,INCONCLUSIVE
0.142,INCONCLUSIVE
0.143,INCONCLUSIVE
0.144,INCONCLUSIVE
0.145,INCONCLUSIVE
0.146,INCONCLUSIVE
0.147,INCONCLUSIVE
0.148,INCONCLUSIVE
0.149,INCONCLUSIVE
0.15,INCONCLUSIVE
0.151,INCONCLUSIVE
0.152,INCONCLUSIVE
0.153,INCONCLUSIVE
0.154,INCONCLUSIVE
0.155,INCONCLUSIVE
0.156,INCONCLUSIVE
0.157,INCONCLUSIVE
0.158,INCONCLUSIVE
0.159,INCONCLUSIVE
0.16,INCONCLUSIVE
0.161,INCONCLUSIVE
0.162,INCONCLUSIVE
0.163,INCONCLUSIVE
0.164,INCONCLUSIVE
0.165,INCONCLUSIVE
0.166,INCONCLUSIVE
0.167,INCONCLUSIVE
0.168,INCONCLUSIVE
0.169,INCONCLUSIVE
0.17,INCONCLUSIVE
0.171,INCONCLUSIVE
0.172,INCONCLUSIVE
0.173,INCONCLUSIVE
0.174,INCONCLUSIVE
0.175,INCONCLUSIVE
0.176,INCONCLUSIVE
0.177,INCONCLUSIVE
0.178,INCONCLUSIVE
0.179,INCONCLUSIVE
0.18,INCONCLUSIVE
0.181,INCONCLUSIVE
0.182,INCONCLUSIVE
0.183,INCONCLUSIVE
0.184,INCONCLUSIVE
0.185,INCONCLUSIVE
0.186,INCONCLUSIVE
0.187,INCONCLUSIVE
0.188,INCONCLUSIVE
0.189,INCONCLUSIVE
0.19,INCONCLUSIVE
0.191,INCONCLUSIVE
0.192,INCONCLUSIVE
0.193,INCONCLUSIVE
0.194,INCONCLUSIVE
0.195,INCONCLUSIVE
0.196,INCONCLUSIVE
0.197,NULL
0.198,NULL
0.199,NULL
0.2,NULL
0.201,NULL
0.202,NULL
0.203,NULL
0.204,NULL
0.205,NULL
0.206,NULL
0.207,NULL
0.208,NULL
0.209,NULL
0.21,NULL
0.211,NULL
0.212,NULL
0.213,NULL
0.214,NULL
0.215,NULL
0.216,NULL
0.217,NULL
0.218,NULL
0.219,NULL
0.22,NULL
0.221,NULL
0.222,NULL
0.223,NULL
0.224,NULL
0.225,NULL
0.226,NULL
0.227,NULL
0.228,NULL
0.229,NULL
0.23,NULL
0.231,NULL
0.232,NULL
0.233,NULL
0.234,NULL
0.235,NULL
0.236,NULL
0.237,NULL
0.238,NULL
0.239,NULL
0.24,NULL
0.241,NULL
0.242,NULL
0.243,NULL
0.244,NULL
0.245,NULL
0.246,NULL
0.247,NULL
0.248,NULL
0.249,NULL
0.25,NULL
0.251,NULL
0.252,NULL
0.253,NULL
0.254,NULL
0.255,NULL
0.256,NULL
0.257,NULL
0.258,NULL
0.259,NULL
0.26,NULL
0.261,NULL
0.262,NULL
0.263,NULL
0.264,NULL
0.265,NULL
0.266,NULL
0.267,NULL
0.268,NULL
0.269,NULL
0.27,NULL
0.271,NULL
0.272,NULL
0.273,NULL
0.274,NULL
0.275,NULL
0.276,NULL
0.277,NULL
0.278,NULL
0.279,NULL
0.28,NULL
0.281,NULL
0.282,NULL
0.283,NULL
0.284,NULL
0.285,NULL
0.286,NULL
0.287,NULL
0.288,NULL
0.289,NULL
0.29,NULL
0.291,NULL
0.292,NULL
0.293,NULL
0.294,NULL
0.295,NULL
0.296,NULL
0.297,NULL
0.298,NULL
0.299,NULL
0.3,NULL
0.301,NULL
0.302,NULL
0.303,NULL
0.304,NULL
0.305,NULL
0.306,NULL
0.307,NULL
0.308,NULL
0.309,NULL
0.31,NULL
0.311,NULL
0.312,NULL
0.313,NULL
0.314,NULL
0.315,NULL
0.316,NULL
0.317,NULL
0.318,NULL
0.319,NULL
0.32,NULL
0.321,NULL
0.322,NULL
0.323,NULL
0.324,NULL
0.325,NULL
0.326,NULL
0.327,NULL
0.328,NULL
0.329,NULL
0.33,NULL
0.331,NULL
0.332,NULL
0.333,NULL
0.334,NULL
0.335,NULL
0.336,NULL
0.337,NULL
0.338,NULL
0.339,NULL
0.34,NULL
0.341,NULL
0.342,NULL
0.343,NULL
0.344,NULL
0.345,NULL
0.346,NULL
0.347,NULL
0.348,NULL
0.349,NULL
0.35,NULL
0.351,NULL
0.352,NULL
0.353,NULL
0.354,NULL
0.355,NULL
0.356,NULL
0.357,NULL
0.358,NULL
0.359,NULL
0.36,NULL
0.361,NULL
0.362,NULL
0.363,NULL
0.364,NULL
0.365,NULL
0.366,NULL
0.367,NULL
