seed,treatment,control,identical
0,12687,543,False
1,9930,1317,False
2,844,8002,False
3,6515,10676,False
4,5721,11307,False
5,8860,11400,False
6,11271,2254,False
7,6931,11443,False
8,6830,10000,False
9,1856,2566,False
10,15615,10165,False
11,11271,14638,False
12,4954,1425,False
13,81,244,False
14,8216,1459,False
15,12421,8002,False
16,13376,699,False
17,265,2566,False
18,10439,11711,False
19,13778,2704,False
20,6925,8857,False
21,7602,7906,False
22,10131,11307,False
23,2254,8135,False
24,11711,11443,False
25,5292,13991,False
26,9543,8285,False
27,11298,10975,False
28,4902,14228,False
29,7353,12295,False
