domain,equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,n,higher_is_better
physics,coulomb_force,rmse,INCONCLUSIVE,0.0017599988248282405,-0.01105915446554169,0.014742342477777616,0.005658116703171748,0.0,20,False
physics,coulomb_force,symbolic_complexity,INCONCLUSIVE,2.45,-2.7,6.75,2.0,0.0,20,False
physics,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,newton_gravitation,rmse,INCONCLUSIVE,-0.2284289124722942,-1.836073409206993,1.0479998376080357,1.5738506276986879,0.013754100554097315,20,False
physics,newton_gravitation,symbolic_complexity,INCONCLUSIVE,14.0,-56.7,68.83908387876417,2.0,0.0,20,False
physics,newton_gravitation,exact_recovery,INCONCLUSIVE,0.05,-0.25,0.35,0.1,0.0,20,True
physics,ideal_gas_law,rmse,NULL,2.5127233657514068,-94.90138858426448,96.5096780905289,105.02996188888399,0.03285498752601557,20,False
physics,ideal_gas_law,symbolic_complexity,INCONCLUSIVE,-40.8,-159.12587597958148,40.738028443553596,2.0,0.0,20,False
physics,ideal_gas_law,exact_recovery,INCONCLUSIVE,-0.1,-0.35,0.2,0.1,0.0,20,True
physics,kinetic_energy,rmse,NULL,7.357395522406731,-21.59668717456712,26.91548904363441,81.50033891580105,0.9988418903482608,20,False
physics,kinetic_energy,symbolic_complexity,INCONCLUSIVE,37.9,-59.89999999999999,141.7,2.0,0.0,20,False
physics,kinetic_energy,exact_recovery,INCONCLUSIVE,0.05,-0.1,0.2,0.1,0.0,20,True
physics,relativistic_energy_momentum,rmse,NULL,-0.13530803989407073,-0.7801564947391519,0.388105473048874,2.271882186393613,0.9997573207917858,20,False
physics,relativistic_energy_momentum,symbolic_complexity,INCONCLUSIVE,-13.2,-58.65,34.38043795415697,2.0,0.0,20,False
physics,relativistic_energy_momentum,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
physics,snells_law,rmse,INCONCLUSIVE,-0.055075316262220245,-0.10117709974086278,-0.01100811852023005,0.02004924176364653,0.0,20,False
physics,snells_law,symbolic_complexity,INCONCLUSIVE,4.0,-5.55,11.65,2.0,0.0,20,False
physics,snells_law,exact_recovery,INCONCLUSIVE,-0.25,-0.45,-0.05,0.1,0.0,20,True
physics,shm_period,rmse,INCONCLUSIVE,0.09882889959354942,-0.1333843059861182,0.6597262705180488,0.10018809255132657,0.0,20,False
physics,shm_period,symbolic_complexity,INCONCLUSIVE,27.7,-7.2,60.53243368220328,2.0,0.0,20,False
physics,shm_period,exact_recovery,INCONCLUSIVE,0.0,-0.1,0.1,0.1,0.0,20,True
physics,ohms_law,rmse,NULL,0.0,-0.0,-0.0,10.356023288725595,1.0,20,False
physics,ohms_law,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,20,False
physics,ohms_law,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
