budget,domain,scaffold,evaluations_per_fit,seeds,equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,overall_verdict,degenerate,identical_rate
small,,,1200,20,coulomb_force,rmse,INCONCLUSIVE,0.007964244279256617,-0.005418802597607784,0.022005422263129917,0.005658116703171748,0.0,HARMFUL,True,0.05
small,,,1200,20,coulomb_force,symbolic_complexity,HARMFUL,-14.25,-25.45,-6.15,2.0,0.0,HARMFUL,True,0.05
small,,,1200,20,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,HARMFUL,True,0.05
small,,,1200,20,newton_gravitation,rmse,HARMFUL,-6.612839399803896,-10.731708692973854,-2.1445889753251532,1.5738506276986879,0.0,HARMFUL,True,0.0
small,,,1200,20,newton_gravitation,symbolic_complexity,INCONCLUSIVE,-2.85,-35.4,66.66100274475457,2.0,0.0,HARMFUL,True,0.0
small,,,1200,20,newton_gravitation,exact_recovery,INCONCLUSIVE,0.05,0.0,0.2,0.1,0.21058606820008086,HARMFUL,True,0.0
small,,,1200,20,ideal_gas_law,rmse,INCONCLUSIVE,-289.05376660718673,-479.48266525476475,-98.9421496265744,105.02996188888399,0.0,INCONCLUSIVE,True,0.0
small,,,1200,20,ideal_gas_law,symbolic_complexity,INCONCLUSIVE,-2.75,-31.35,26.2,2.0,0.0,INCONCLUSIVE,True,0.0
small,,,1200,20,ideal_gas_law,exact_recovery,INCONCLUSIVE,-0.05,-0.2,0.0,0.1,0.21058606820008086,INCONCLUSIVE,True,0.0
small,,,1200,20,kinetic_energy,rmse,INCONCLUSIVE,-138.03926284031377,-307.90712505582877,151.03848265078187,81.50033891580105,0.0,INCONCLUSIVE,True,0.0
small,,,1200,20,kinetic_energy,symbolic_complexity,INCONCLUSIVE,-15.3,-59.98184690223989,14.0,2.0,0.0,INCONCLUSIVE,True,0.0
small,,,1200,20,kinetic_energy,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,True,0.0
small,,,1200,20,relativistic_energy_momentum,rmse,INCONCLUSIVE,-3.404454292659998,-6.485054135277646,-1.3617366201704795,2.271882186393613,0.0,INCONCLUSIVE,True,0.05
small,,,1200,20,relativistic_energy_momentum,symbolic_complexity,INCONCLUSIVE,2.0,-14.850000000000001,25.5,2.0,0.0,INCONCLUSIVE,True,0.05
small,,,1200,20,relativistic_energy_momentum,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,True,0.05
small,,,1200,20,snells_law,rmse,INCONCLUSIVE,0.026196518631191667,-0.02548313799793151,0.07234994756276651,0.02004924176364653,0.0,HARMFUL,True,0.1
small,,,1200,20,snells_law,symbolic_complexity,HARMFUL,-28.7,-45.8,-17.55,2.0,0.0,HARMFUL,True,0.1
small,,,1200,20,snells_law,exact_recovery,INCONCLUSIVE,-0.05,-0.25,0.15,0.1,0.0,HARMFUL,True,0.1
small,,,1200,20,shm_period,rmse,HARMFUL,-0.4812956399906333,-0.7989502995825407,-0.23405400014824268,0.10018809255132657,0.0,HARMFUL,True,0.05
small,,,1200,20,shm_period,symbolic_complexity,INCONCLUSIVE,-9.2,-27.949999999999996,9.05,2.0,0.0,HARMFUL,True,0.05
small,,,1200,20,shm_period,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,HARMFUL,True,0.05
small,,,1200,20,ohms_law,rmse,NULL,-0.1845917367494091,-0.5304126389419703,0.0,10.356023288725595,1.0,INCONCLUSIVE,True,0.55
small,,,1200,20,ohms_law,symbolic_complexity,INCONCLUSIVE,-5.85,-15.75,-1.8,2.0,0.0,INCONCLUSIVE,True,0.55
small,,,1200,20,ohms_law,exact_recovery,INCONCLUSIVE,-0.1,-0.25,0.0,0.1,0.0,INCONCLUSIVE,True,0.55
medium,,,3600,20,coulomb_force,rmse,CONTRIBUTES,0.026190012144663894,0.008713171033611852,0.040101306820872346,0.005658116703171748,0.0,HARMFUL,True,0.0
medium,,,3600,20,coulomb_force,symbolic_complexity,HARMFUL,-14.8,-22.25,-8.2,2.0,0.0,HARMFUL,True,0.0
medium,,,3600,20,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,HARMFUL,True,0.0
medium,,,3600,20,newton_gravitation,rmse,HARMFUL,-12.545680627600508,-16.77676266242013,-8.035707419720188,1.5738506276986879,0.0,HARMFUL,True,0.05
medium,,,3600,20,newton_gravitation,symbolic_complexity,INCONCLUSIVE,-2.95,-59.0,74.52580173356054,2.0,0.0,HARMFUL,True,0.05
medium,,,3600,20,newton_gravitation,exact_recovery,INCONCLUSIVE,-0.2,-0.4,0.0,0.1,0.0,HARMFUL,True,0.05
medium,,,3600,20,ideal_gas_law,rmse,HARMFUL,-692.7139162590229,-969.057886001888,-399.10474605236493,105.02996188888399,0.0,HARMFUL,True,0.0
medium,,,3600,20,ideal_gas_law,symbolic_complexity,INCONCLUSIVE,20.15,-34.95143697810492,73.15,2.0,0.0,HARMFUL,True,0.0
medium,,,3600,20,ideal_gas_law,exact_recovery,INCONCLUSIVE,-0.1,-0.3,0.1,0.1,0.0,HARMFUL,True,0.0
medium,,,3600,20,kinetic_energy,rmse,INCONCLUSIVE,-147.10462107240167,-221.36570681115822,-79.83191384006825,81.50033891580105,0.08480588149172741,INCONCLUSIVE,True,0.0
medium,,,3600,20,kinetic_energy,symbolic_complexity,INCONCLUSIVE,-14.4,-56.05,34.70118056401762,2.0,0.0,INCONCLUSIVE,True,0.0
medium,,,3600,20,kinetic_energy,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,True,0.0
medium,,,3600,20,relativistic_energy_momentum,rmse,INCONCLUSIVE,-1.5752048556331677,-3.1137345003587003,-0.504957412426495,2.271882186393613,0.7427352274940868,INCONCLUSIVE,True,0.05
